State,Participation,Combined,English,Math,Reading,Science,Region
Alabama,80,20.6,20.7,19.5,21.3,20.4,South
Alaska,37,21,19.9,21.1,21.6,20.8,West
Arizona,55,19.7,18.8,20.2,20,19.5,West
Arkansas,93,20.4,20.1,19.9,20.8,20.3,South
California,29,22.3,21.8,22.8,22.3,21.7,West
Colorado,100,20.6,20.1,20.4,20.9,20.6,West
Connecticut,29,24.2,24.2,24.1,24.5,23.6,Northeast
Delaware,18,23.2,22.7,23.2,23.7,22.9,South
District of Columbia,37,21.6,21.2,21.5,22,21.1,Northeast
Florida,81,19.6,18.7,19.5,20.7,19.1,South
Georgia,53,20.8,20.3,20.5,21.4,20.7,South
Hawaii,90,18.2,16.9,19,18.3,18.1,West
Idaho,45,22.4,21.9,22,23,22.1,West
Illinois,100,20.7,20.3,20.7,20.8,20.5,Midwest
Indiana,40,21.9,21.1,21.9,22.3,21.6,Midwest
Iowa,68,22,21.5,21.4,22.5,22.2,Midwest
Kansas,75,22,21.4,21.7,22.5,21.8,Midwest
Kentucky,100,19.9,19.4,19.4,20.3,20,South
Louisiana,100,19.2,18.9,18.9,19.5,19.1,South
Maine,9,23.6,23.3,23.6,24.1,22.8,Northeast
Maryland,22,22.6,22.1,22.5,23,22.2,South
Massachusetts,23,24.3,24,24.6,24.5,23.5,Northeast
Michigan,100,20.1,19.3,19.9,20.2,20.4,Midwest
Minnesota,76,22.9,22.1,23,23.1,22.9,Midwest
Mississippi,100,19,18.8,18.3,19.4,18.9,South
Missouri,76,21.8,21.6,21.1,22.3,21.7,Midwest
Montana,100,20.5,19.3,20.5,21.1,20.4,West
Nebraska,86,21.7,21.3,21.1,22,21.7,Midwest
Nevada,36,21.2,20.2,21.2,21.7,21.1,West
New Hampshire,20,24.2,23.9,24.2,24.5,23.6,Northeast
New Jersey,25,23.1,22.8,23.7,23.1,22.4,Northeast
New Mexico,69,19.9,18.9,19.7,20.5,20.1,West
New York,27,23.4,22.7,23.8,23.6,23.2,Northeast
North Carolina,100,18.9,17.5,19.6,19,18.9,South
North Dakota,100,20.6,19.6,20.7,20.8,20.6,Midwest
Ohio,72,22,21.4,21.7,22.4,22,Midwest
Oklahoma,75,20.7,20.3,19.9,21.5,20.8,South
Oregon,36,21.4,20.8,21.4,21.9,21.1,West
Pennsylvania,19,22.7,22.1,22.8,23,22.2,Northeast
Rhode Island,16,22.9,22.7,22.8,23.6,22,Northeast
South Carolina,58,20.4,19.7,20.3,20.9,20.4,South
South Dakota,78,21.9,21,21.8,22.3,22.1,Midwest
Tennessee,100,19.8,19.6,19.2,20.1,19.6,South
Texas,40,20.9,19.8,21.4,21.1,21,South
Utah,100,20.8,20,20.3,21.3,20.9,West
Vermont,29,23.2,22.8,23,23.7,22.8,Northeast
Virginia,28,22.8,22.4,22.7,23.4,22.4,South
Washington,22,23,22.3,23.3,23.4,22.7,West
West Virginia,65,20.6,20.4,19.5,21.4,20.6,South
Wisconsin,73,22.2,21.6,22,22.4,22.3,Midwest
Wyoming,100,20.1,19.3,19.9,20.6,20.2,West
